ip_morale|Le Moral
ip_morale_text|Le moral représente la capacité et la volonté des troupes d'une armée à trouver l'endurance, le courage et la discipline dont ils ont besoin pourfaire face aux stress des batailles et des longues marches. Ce n'est pas la même chose que le bonheur des troupes. Des troupes d'élite peuvent geindre et bougonner des privations d'une campagne -- mais ils sont comme un seul homme quand les fleches commencent à voler. D'autre part, un commandant qui donne à ses hommes tout ce qu'ils veulent peut constater qu'ils deviennent trop dociles, et rennoncent face à la charge ennemi.^^ L'impact le plus grand du moral est sur le comportement d'une armée dans la bataille, determinant l'agressivité des troupes qui engage l'ennemi, et comment ils vont ceder et réagir si ils percoivent que la bataille tourne en leur défaveur. Le moral affecte aussi la vitesse d'une marche, une armée moins motivée avancerea plus lentement, les hommes ne pousseront pas leur limite physique jusqu'au bout, et feront des pauses plus souvent, et attendrons les retardataires. Enfin,une armée avec un moral tres bas subira des desertions.^^ Certains facteurs qui affecte le moral sont intuitifs. Par exemple, un commandant charismatique avec une réputation de gagner des batailles peut inluencer ses hommes avec un sentiment de confiance. Les leaders qui donnent une nourriture suffisante et variée, à temps, demontreront qu'ils se préocuppent de leurs troupes, et ont moins de chance de les amener aux desastres.^^ D'autres facteurs sont moins intuitifs -- particulièrement ceux liés à la cohésion de groupe. Par exemple, dans une petite armée, les hommes se battront plus durement pour éviter de montrer leur lacheté devant leur frères d'armes. Une grande armée peut d'autre part voir sa cohesion tendue, comme le commandant à moins de temps pour surveiller ses hommes, ecouter leur griefs ou encore résoudre leurs disputes. Des batailles fréquentes renforceront les liens, tandis que de longues periodes sans combat verront les troupes s'ennuyer et se quereller .^^ Le rapport du moral, est accessible en cliquant sur 'rapports' et donnera au joueur differents facteurs affectant le moral de ses troupes.
ip_economy|Economie
ip_economy_text|Les villes et villages dans les terres du Nord ont besoin d'une large variété de marchandises pour rester en bonne santé et productif. La premiere importance est alimentaire. Le Grain est la récolte de base dans les Terres du Nord, mais le peuple à aussi besoin de graisse et proteine présent dans le poisson, la viande et le fromage.Il prend presque autant de temps pour conserver la viande que la produire, le sel est donc aussi une forte demande. Aprés la nourriture vient les vetements : grosse laine, linge plus leger, ou velours luxueux. Enfin, le peuple à besoin d'outils pour leurs commerces: ferronerie,poterie et maroquinerie, et bien sur, armes, armures, et chevaux pour la guerre.^^La plupart des produits agricoles sont produits dans les villages, tandis que les artisans des villes se spécialisent dans l'artisanat ou la fabrication, comme le tissu ou la ferronerie. Aussi differents ressources peuvent être trouvées dans differentes parties de la carte. Par conséquent, la clé de la prosperité est le commerce -- autant entre les villages et les villes, que les plus grosses villes entre elles.^^Pendant les flux commerciaux, la nourriture sera plus abordable et disponible, la population d'un centre sera saine et énergique, et les migrants viendront en masses des regions voisines. Le centre produira plus, consommera plus et payera plus d'impot à son seigneur . Quand le commerce s'affaiblit, les villes et villages verront leurs travailleurs fuir pour chercher du travail, et l'activité economique marquer un temps d'arrêt. Ainsi, il est dans l'interêt des dirigeants de sécuriser les routes commerciales. Un marchand intelligent,cepandant, peut aussi trouver des villes isolées du reste du monde pour tirer un benefice plus important due aux manques d'offres.^^ Parce que les villageois ont l'habitude de se sevir dans les villes, les  villages sont moins frequentés et du coup souvent meilleur marché et souvent meilleur acheteur. La plupart des marchands resteront fidèles aux villes pour faire leur bénefices, bien que certains d'entre eux decideront de faire un arrêt rapide dans un village  .^^Un joueur voulant connaître les facteurs affectant la prospérité d'une région pourra parler au maire de la ville locale. D'autres informations peuvent être glanées par des passants, bien qu'ils n'en sauront pas beaucoup plus que leurs propres commerces.
ip_courtship|La cour
ip_courtship_text|Vous pouvez vouloir vous marier dans une des familles nobles des Terres du Nord. Le mariage n'est pas nécessaire pour quelqu'un qui souhaite monter au pouvoir, mais il leur fournit vraiment une occasion d'améliorer leur relation avec des seigneurs et peut établir une réclamation pour le trône. ^^ Des exigences de Mariage seront différentes pour un homme ou une femme. Un personnage masculin devra poursuivre un chemin traditionnel de la cour. Il devrait établir une réputation dans la société aristocratique, être en bons termes avec les parents de sa jeune mariée ou des tuteurs et courtiser ensuite la dame selon la coutume locale. Si un joueur devient impatient, il peut essayer de prendre un raccourci --Mais il y aura des conséquences dans ses relations avec les autres seigneurs. ^^ un personnage masculin devrait garder à l'esprit que d'autres seigneurs rivaliseront avec lui pour les affections des dames du royaume. Aussi, les goût d'une dame sont imprévisibles et un joueur peut aussi constater que son amour ne l'aime pas en retour. Le roman, dans les Terres du Nord comme ailleurs, ne prospère pas toujours . Bien sûr, un joueur peut recourir à d'autres moyens moins courtois de gagner le coeur d'une dame, mais de nouveau, ceci aura un impact sérieux sur sa réputation. ^^Pour commencer sur le chemin de la cour, un joueur masculin devrait essayer de s'impliquer dans la vie sociale de l'aristocratie d'Englaland, assistant aux banquets et tournois. Aussi, les troubadours et  poètes peuvent servir d'un dépositaire d'information utile sur la cour et garder le joueur à jour du dernier commérage. ^^ Les personnages féminins peuvent aussi se marier - mais ils devraient garder à l'esprit que ces sociétés sont très traditionnelles et, comme des aventuriers, ils ont choisi un chemin non conventionnel pour une femme. Un personnage féminin devrait regarder pendant un certain temps pour trouver un seigneur qui est assez ouvert d'esprit pour l'épouser. ^^ Pour le bon côté, un personnage féminin ne doit pas passer les rituels de la cour et elle peut aussi gagner plus d'un mariage contrairement à son homologue masculin.Pour une aventurière, le mariage peut être un chemin rapide et sans scrupules pour pouvoir utiliser son mari comme un outil à ses ambitions politiques.
ip_politics|Politique
ip_politics_text|Les royaumes des Terres du Nord, bien qu'ils aient des cultures différentes, partage tous un système politique de base qui a précédé le féodalisme. Au sommet de la hiérarchie sociale Germanique,il y a le roi, élu par un conseil de nobles des membres de la maison royale. Toute la terre du royaume a appartenu au roi, qui l'a distribué parmi l'aristocratie et les guerriers qui avaient exécuté des actes remarquables. Cette terre n'est pas cependant devenu leur propriété et, en cas de mort,  revient au dirigeant. La noblesse a dirigé chaque comté au nom du roi avec comme responsabilité l'administration et la justice, recrutant et menant les impôts jusqu'au champ de bataille. À cette fin ils ont divisé leur terre en territoire plus petits, entre les citoyens d'honneur qui ont formé la base de l'économie rurale du royaume. Ces fermiers et propriétaires pouvaient payé un loyer à leur chef suprême ou avaient plusieurs devoirs avec lui, comme la construction de fortifications, travailler quelques jours de la semaine ou pendant le temps des récoltes. ^^ Ce système a été aussi pratiqué dans la noblesse, qui a établi les hiérarchies d'hommage et le support politique. Les monastères de plus en plus puissants étaient des établissements ecclésiastiques autonomes avec leur propre terre et clients. ^^Une caractéristique(fonction) distinctive des sociétés celtiques (le Gaélique, le gallois et Pictish) était l'importance du groupe d'origine d'entreprise, le clan. Un grand groupe de personnes liées(de proches) est censément descendu d'un ancêtre commun, agissant comme une entité juridique et sociale indépendante. ^^ Quand un royaume dans les Terres du Nord fait la guerre à un autre, l'unité politique de chaque royaume est aussi importante que la qualité ou le nombre de ses soldats dans la détermination du résultat. Dans un royaume cohésif, la noblesse se joindra dans une grande force pour balayer leurs adversaires . Dans un royaume divisé par de petites querelles, les seigneurs échoueront à répondre à la sommation du maréchal, ou s'éloigneront pour s'occuper de  leur propre affaire, si une campagne ne va pas bien. La cohésion politique d'une faction aura aussi un impact sur la guerre quand les campagnes ne sont pas en cours.Dans une faction divisée, les seigneurs vont probablement moins se joindre ensemble sur des raids et des patrouilles, mais plutôt à leur propre defense. ^^ les querelles de la noblesse sont funestes quand l'ennemi est juste au coin de la rue, gardez à l'esprit qu'en fin de compte, la fidélité d'un noble n'appartient pas à une faction particulière ou à une culture, mais à lui et à sa famille. Si des nobles craignent que leur faction s'effondre, ou s'ils sont négligé par leur seigneur, ils peuvent trouver une raison de retirer leur serment d'allégeance et changer d'allié. Les joueurs devraient garder ceci à l'esprit, comme ils peuvent constater qu'il y a des occasions de transformer des anciens ennemis mécontents en alliés.
ip_character_backgrounds|Caractere du Personnage
ip_character_backgrounds_text|Le caractere du personnage joueur dans les Terres du Nord peut venir de differents environnements sociaux. Ce choix affectera non pas que les compétences de départ et équipement, mais aussi sa carriere d'aventurier. ^^ la Guerre et la politique sont dominés traditionnellement par des aristocrates masculins. Un caractère de noble peut constater qu'il est invité ' le club des vieux garçons ' assez rapidement, mais les femmes et des roturiers peuvent faire face à quelques obstacles supplémentaires en chemin. Si vous voulez commencer le jeu comme un noble masculin, vous pouvez y songer comme une mise plus 'facile'. Commençant comme un roturier masculin est un peu plus difficile et commençant comme un roturier féminin est probablement la façon la plus stimulante de commencer le jeu. ^^Cependant, les femmes ont quelques avantages de départ. Simplement en prenant les armes, un guerrier féminin attirera l'attention sur elle et peut constater qu'elle peut développer sa réputation plus rapidement qu'un homme. Aussi, c'est traditionnellement plus facile pour une femme d'épouser quelqu'un en haut de l'échelle sociale que cela l'est pour un homme, et une femme peut constater qu'elle peut gagner plus d'une alliance matrimoniale que son homologue masculin. ^^ Finalement, gardez à l'esprit que le jeu ne place pas de limites sur la mobilité ascendante du caractere basés sur son contexte. Noble ou commun, masculin ou féminin, marié ou célibataire - n'importe qui peut se lever pour devenir le dirigeant de toutes les Terres du Nord, s'ils est suffisamment courageu, chanceu, ou ingénieu.
ip_military_campaigns|Campagne Militaire
